parameter_set_id,parameter_group,parameter_name,index_id,value,unit,measure_scope,model_scope,is_market_data,calibration_status,effective_date,source_type,source_reference,source_url,code_constraint,validation,description
realistic_base_2026-06-30,equity,sigma,aus_equity,0.16,decimal_per_sqrt_year,both,black_scholes;hull_white_bs,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Plausible annualised diffusion volatility; retained from the repo base level and not fitted to a current volatility surface",,value>0,pass,Australian return-index diffusion volatility
realistic_base_2026-06-30,equity,dividend_yield,aus_equity,0.0,decimal_per_year,both,all_models,false,assumption_not_market_calibrated,2026-06-30,structural_index_definition,"S&P/ASX 200 Total Return already includes distributions",,value>=0,pass,Continuous carry excluded from the simulated published index
realistic_base_2026-06-30,equity,risk_premium,aus_equity,0.045,decimal_per_year,real_world,all_models,false,assumption_not_market_calibrated,2026-06-30,long_run_research_anchor,"RBA historical realised ERP around 4 percent and cited forward-looking range of 4 to 6 percent",https://www.rba.gov.au/publications/rdp/2019/2019-04/australian-equity-market-facts-1917-2019.html,finite,pass,Expected total-return excess drift over AUD cash under the real-world measure
realistic_base_2026-06-30,equity,sigma,global_equity,0.15,decimal_per_sqrt_year,both,black_scholes;hull_white_bs,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Plausible annualised AUD return volatility; retained from the repo base level and not fitted to a current volatility surface",,value>0,pass,Global AUD return-index diffusion volatility
realistic_base_2026-06-30,equity,dividend_yield,global_equity,0.0,decimal_per_year,both,all_models,false,assumption_not_market_calibrated,2026-06-30,structural_index_definition,"MSCI World Net in AUD is modelled as a return index",,value>=0,pass,Continuous carry excluded from the simulated published index
realistic_base_2026-06-30,equity,risk_premium,global_equity,0.045,decimal_per_year,real_world,all_models,false,assumption_not_market_calibrated,2026-06-30,long_run_research_anchor,"Long-run diversified-equity planning assumption aligned with the RBA 4 to 6 percent Australian forward-looking range; not a current market observation",https://www.rba.gov.au/publications/rdp/2019/2019-04/australian-equity-market-facts-1917-2019.html,finite,pass,Expected total-return excess drift over AUD cash under the real-world measure
realistic_base_2026-06-30,dependence,equity_correlation,,0.75,correlation,both,all_models,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Instantaneous Brownian correlation between Australian and global AUD equity returns",,-1<value<1;joint_rate_equity_matrix_positive_definite,"pass;eigenvalues=0.2500;0.9053;1.8447",Cross-index equity shock correlation
realistic_base_2026-06-30,heston,v0,aus_equity,0.0256,variance_per_year,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,internally_consistent_assumption,"Set equal to equity sigma squared so BS and Heston start at the same volatility level",,value>=0,"pass;sqrt(v0)=0.16",Initial Heston variance
realistic_base_2026-06-30,heston,theta,aus_equity,0.0256,variance_per_year,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,internally_consistent_assumption,"Set equal to equity sigma squared so long-run Heston volatility matches the BS anchor",,value>0,"pass;sqrt(theta)=0.16",Long-run Heston variance
realistic_base_2026-06-30,heston,kappa,aus_equity,1.8,per_year,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Mean-reversion speed retained from the repo base level",,value>0,"pass;Feller_LHS=0.09216",Heston variance mean-reversion speed
realistic_base_2026-06-30,heston,xi,aus_equity,0.30,heston_vol_of_variance,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,numerically_robust_expert_assumption,"Reduced from the uncalibrated repo default of 0.35 to provide a realistic skew while satisfying the Feller condition",,value>0,"pass;xi_squared=0.09000;Feller=pass",Heston volatility of variance
realistic_base_2026-06-30,heston,rho_sv,aus_equity,-0.60,correlation,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Negative return-variance correlation retained to represent downside skew",,-1<=value<=1;rho_sv_squared<=1-rho_sr_squared,"pass;Heston_HW_residual=0.6000",Heston equity-variance shock correlation
realistic_base_2026-06-30,heston,v0,global_equity,0.0225,variance_per_year,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,internally_consistent_assumption,"Set equal to equity sigma squared so BS and Heston start at the same volatility level",,value>=0,"pass;sqrt(v0)=0.15",Initial Heston variance
realistic_base_2026-06-30,heston,theta,global_equity,0.0225,variance_per_year,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,internally_consistent_assumption,"Set equal to equity sigma squared so long-run Heston volatility matches the BS anchor",,value>0,"pass;sqrt(theta)=0.15",Long-run Heston variance
realistic_base_2026-06-30,heston,kappa,global_equity,2.0,per_year,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Mean-reversion speed retained from the repo base level",,value>0,"pass;Feller_LHS=0.09000",Heston variance mean-reversion speed
realistic_base_2026-06-30,heston,xi,global_equity,0.28,heston_vol_of_variance,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,numerically_robust_expert_assumption,"Reduced from the uncalibrated repo default of 0.32 to provide a realistic skew while satisfying the Feller condition",,value>0,"pass;xi_squared=0.07840;Feller=pass",Heston volatility of variance
realistic_base_2026-06-30,heston,rho_sv,global_equity,-0.65,correlation,both,heston;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Negative return-variance correlation retained to represent downside skew",,-1<=value<=1;rho_sv_squared<=1-rho_sr_squared,"pass;Heston_HW_residual=0.5375",Heston equity-variance shock correlation
realistic_base_2026-06-30,hull_white,mean_reversion,,0.10,per_year,both,hull_white_bs;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption,"A 10 percent mean-reversion speed gives a 6.93-year half-life; Hull-White alpha(t) fits the supplied initial curve independently of this assumption",,value>0,"pass;half_life_years=6.9315",Hull-White one-factor mean-reversion speed
realistic_base_2026-06-30,hull_white,sigma_r,,0.008,decimal_rate_per_sqrt_year,both,hull_white_bs;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Moderate absolute short-rate volatility retained from the repo base level; not fitted to a swaption surface",,value>=0,"pass;one_year_OU_sd_approx=0.00761",Hull-White short-rate factor volatility
realistic_base_2026-06-30,hull_white,rho_sr,aus_equity,-0.20,correlation,both,hull_white_bs;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Moderate negative rate-equity shock dependence retained from the repo base level",,-1<value<1;joint_rate_equity_matrix_positive_definite,"pass;Heston_HW_residual=0.6000",Hull-White short-rate to Australian-equity shock correlation
realistic_base_2026-06-30,hull_white,rho_sr,global_equity,-0.20,correlation,both,hull_white_bs;heston_hull_white,false,assumption_not_market_calibrated,2026-06-30,expert_assumption_repo_anchor,"Moderate negative rate-equity shock dependence retained from the repo base level",,-1<value<1;joint_rate_equity_matrix_positive_definite,"pass;Heston_HW_residual=0.5375",Hull-White short-rate to global-equity shock correlation
