"Kapitel/Fundstelle","Aussage oder Kennzahl","Typ: Produktfakt / Modellannahme / Ergebnis / Interpretation","Primärquelle","Prüfstatus","Befund","erforderliche Änderung"
"Zusammenfassung; 3.1","Issuer ist Allianz Australia Life; Group Policy an Allianz Policy Services; Investor ist specified beneficiary","Produktfakt","AGILE PDS 19.01.2026, S. 2 und 83–84","BESTÄTIGT MIT PRÄZISIERUNG","Life Insured/Surviving Spouse haben bei abweichendem Investor grundsätzlich kein eigenes Interest under the Group Policy.","Rollen und unmittelbares Investor-Interesse präzisieren."
"Zusammenfassung; 3.1","AGILE-Investments werden Statutory Fund No. 2 zugeordnet","Produktfakt","AGILE PDS 19.01.2026, S. 2","BESTÄTIGT","Kernaussage stimmt.","Keine materielle Änderung."
"Zusammenfassung; 3.1","Garantierte Leistungen sind Verpflichtungen von Allianz Australia Life","Produktfakt","AGILE PDS 19.01.2026, S. 2 und 85","BESTÄTIGT MIT QUALIFIKATION","Erfüllung aus verfügbaren Fund-Assets, mögliche Top-up-Pflicht und begrenzte Group-Policy-Cessation; keine Allianz-SE-Garantie.","Garantieumfang und Konzernabgrenzung ergänzen."
"3.1 Terminologie","AGILE ist rechtlich FIA plus GLWB","Interpretation","PDS; Bauer et al. 2008; Holz et al. 2012","KORRIGIERT","FIA/GLWB ist eine funktionale, US-geprägte Modellanalogie, keine rechtliche oder APRA-Klassifikation.","FIA, VA, GMWB, GLWB und GMLWB differenzieren."
"3.1; 12.6","Lifetime Income kann freiwillig nach mindestens einem Jahr beginnen","Produktfakt","AGILE PDS, S. 17","BESTÄTIGT","Wahlrecht und Irreversibilität stimmen.","Keine."
"3.1; 12.6","Es gibt keinen automatischen Income Start","Produktfakt","AGILE PDS, S. 17 und 75","KORRIGIERT","Automatischer Start nach Alter 100 bzw. bei Age Pension+ nach Life Expectancy; Default Fixed ohne Spouse; bei fehlenden Kontakt-/Bankdaten Full Withdrawal als PDS-Vorbehalt.","Automatische Commencement-/Default-/Folgeregel und Engine-Lücke ergänzen; Full Withdrawal nicht als deterministische Engine-Regel darstellen."
"3.2","Vier Protected Investment Options: AUS/Global × Total/Partial-10","Produktfakt","AGILE PDS, S. 12–13 und 26–30","BESTÄTIGT","Optionen stimmen.","Keine."
"3.2","Juli-2026 Maximum Returns 6,20/13,00/6,00/12,80 %","Produktfakt","AGILE Maximum Returns Jul26, S. 1","BESTÄTIGT MIT VINTAGE-PRÄZISIERUNG","Gültig für Commencement oder Anniversary Dates im Juli 2026.","Statisches Vintage-PDF zitieren; Anniversary Date ergänzen."
"3.2","Guaranteed Minimums 0,25 % Total und 0,50 % Partial","Produktfakt","AGILE Guaranteed Minimums Jul26, S. 1","BESTÄTIGT MIT BEGRIFFSKORREKTUR","Untergrenze des künftigen Maximum Return, nicht Annual-Return-Floor.","Guaranteed Minimum und Protection Floor strikt trennen."
"3.3","Total-Protection-Payoff min(max(R,0),C)","Modellannahme","AGILE PDS, S. 27–28; crediting.py","BESTÄTIGT FÜR MARKTGEBUNDENEN ZWEIG","Formel stimmt, sofern kein Fixed Return angewandt wird.","Branch-Bedingung explizit voranstellen."
