assumption_set_id,component,phase,link,moneyness_transform,parameter_name,base_value,low_value,high_value,unit,effective_date,assumption_status,source_reference,notes
dynamic_proxy_2026-07-13_v2,shared,all,shared,not_applicable,reference_premium,100000,100000,100000,AUD_gross_single_premium,2026-07-13,uncalibrated_proxy,Repository governance value; no experience calibration,"Gross paid premium reference; do not reduce for adviser fees, insurer costs or commencement bonus."
dynamic_proxy_2026-07-13_v2,shared,all,shared,not_applicable,log_moneyness_min,-0.6931471805599453,-0.6931471805599453,-0.6931471805599453,natural_log_ratio,2026-07-13,uncalibrated_proxy,Repository governance value; no experience calibration,Lower clip equals -ln(2).
dynamic_proxy_2026-07-13_v2,shared,all,shared,not_applicable,log_moneyness_max,0.6931471805599453,0.6931471805599453,0.6931471805599453,natural_log_ratio,2026-07-13,uncalibrated_proxy,Repository governance value; no experience calibration,Upper clip equals ln(2).
dynamic_proxy_2026-07-13_v2,shared,all,shared,not_applicable,log_premium_min,-2,-2,-2,natural_log_ratio,2026-07-13,uncalibrated_proxy,Repository governance value; no experience calibration,Lower clip for ln(gross premium/reference premium).
dynamic_proxy_2026-07-13_v2,shared,all,shared,not_applicable,log_premium_max,2,2,2,natural_log_ratio,2026-07-13,uncalibrated_proxy,Repository governance value; no experience calibration,Upper clip for ln(gross premium/reference premium).
dynamic_proxy_2026-07-13_v2,lapse,growth,proportional_hazard_cloglog,signed,beta_moneyness,0,0,0,log_hazard_coefficient,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase Full-Withdrawal assumption.
dynamic_proxy_2026-07-13_v2,lapse,growth,proportional_hazard_cloglog,signed,beta_log_premium,0,0,0,log_hazard_coefficient,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase Full-Withdrawal assumption.
dynamic_proxy_2026-07-13_v2,lapse,growth,proportional_hazard_cloglog,signed,beta_interaction,0,0,0,log_hazard_interaction_coefficient,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase Full-Withdrawal assumption.
dynamic_proxy_2026-07-13_v2,lapse,growth,proportional_hazard_cloglog,signed,output_floor,0,0,0,annual_conditional_probability,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase Full-Withdrawal assumption.
dynamic_proxy_2026-07-13_v2,lapse,growth,proportional_hazard_cloglog,signed,output_cap,0,0,0,annual_conditional_probability,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase Full-Withdrawal assumption.
dynamic_proxy_2026-07-13_v2,lapse,growth,proportional_hazard_cloglog,signed,multiplier_floor,1,1,1,dimensionless_multiplier,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase Full-Withdrawal assumption.
dynamic_proxy_2026-07-13_v2,lapse,growth,proportional_hazard_cloglog,signed,multiplier_cap,1,1,1,dimensionless_multiplier,2026-07-13,contractual_constraint,Product specification; projection product gate,Neutral coefficient for the structurally zero Growth-phase Full-Withdrawal assumption.
