assumption_set_id,category,parameter_name,engine_parameter,base_value,low_value,high_value,unit,perspective,timing,include_in_base_case,engine_support,assumption_status,effective_date,source_reference,notes
realistic_base_2026-07-12,customer_charge,product_fee,FeeSpec.product_fee,0.003,0.003,0.003,decimal_per_year_on_investment_value,customer_outflow_insurer_inflow,daily_accrual_annual_or_event_deduction,true,direct,contractual_current,2026-01-19,"AGILE PDS 19-Jan-2026 pp. 40-41","Current contractual charge; 0.30% p.a.; may be varied with notice under the PDS."
realistic_base_2026-07-12,customer_charge,lifetime_income_premium,FeeSpec.lifetime_income_premium,0.0115,0.0115,0.0115,decimal_per_year_on_investment_value,customer_outflow_insurer_inflow,daily_accrual_annual_or_event_deduction,true,direct,contractual_current,2026-01-19,"AGILE PDS 19-Jan-2026 pp. 40-41","Current contractual charge; 1.15% p.a.; ceases when Investment Value is nil and may be waived under the Age Pension+ conditions."
realistic_base_2026-07-12,insurer_expense,acquisition_expense,ExpenseAssumptions.acquisition_pct_of_premium,0.02,0.015,0.035,decimal_of_single_premium,insurer_outflow,policy_commencement,true,direct,expert_assumption,2026-07-12,"AGILE engine research default","Covers underwriting setup; onboarding; issue administration; legal and distribution support excluding adviser service fees. Calibrate to internal expense study before production use."
realistic_base_2026-07-12,insurer_expense,maintenance_fixed,ExpenseAssumptions.maintenance_per_policy,80,60,120,AUD_per_policy_per_year,insurer_outflow,monthly_while_in_force,true,direct,expert_assumption,2026-07-12,"AGILE engine research default","Base-date per-policy administration; customer service; reporting and claims support cost; inflated by expense_inflation."
realistic_base_2026-07-12,insurer_expense,maintenance_variable,ExpenseAssumptions.maintenance_pct_of_iv,0.0005,0.00025,0.001,decimal_per_year_on_investment_value,insurer_outflow,monthly_while_in_force,true,direct,expert_assumption,2026-07-12,"AGILE engine research default","Asset-related administration and oversight cost proxy; 5 bp base with 2.5-10 bp sensitivity range."
realistic_base_2026-07-12,insurer_expense,expense_inflation,ExpenseAssumptions.expense_inflation,0.025,0.02,0.04,decimal_per_year,insurer_outflow,annual_compounding,true,direct,expert_assumption,2026-07-12,"AGILE engine research default","Applied to fixed maintenance expense; use wage or insurer expense inflation when calibrated data become available."
realistic_base_2026-07-12,distribution_cost,commission,ExpenseAssumptions.commission_pct_of_premium,0,0,0.01,decimal_of_single_premium,insurer_outflow,policy_commencement,true,direct,expert_assumption,2026-07-12,"AGILE PDS pp. 41-42 and AGILE engine research default","Base assumes no insurer-paid commission. Adviser Service Fees are separately authorised customer payments and are not Allianz product fees."
realistic_base_2026-07-12,hedging_cost,hedge_execution_and_basis_proxy,ProjectionConfig.hedge_vol_spread,0,0,0,absolute_volatility_add_on,insurer_outflow,each_crediting_year,true,proxy,legacy_inactive,2026-07-12,"AGILE engine ProjectionConfig documentation","Legacy proxy for bid-ask; slippage; hedge-vol basis and execution friction. Retained for compatibility but disabled by zero in the standard assumptions to avoid double-counting the explicit option markup and reference-management fee."
realistic_base_2026-07-12,hedging_cost,option_fair_value_markup,ProjectionConfig.option_fair_value_markup,0.005,0.005,0.005,decimal_of_fair_option_package_value,insurer_outflow,each_crediting_year_at_hedge_purchase,true,direct,user_specified,2026-07-13,"User-specified modelling assumption 13-Jul-2026","Insurer pays 0.50% of the fair option-package value in addition to fair value. This is a relative markup on the option package; not 50 bp of hedge notional."
realistic_base_2026-07-12,hedging_cost,hedge_reference_management_fee,ProjectionConfig.hedge_reference_management_fee,0.003,0.003,0.003,decimal_per_year_on_hedge_reference_notional,insurer_outflow,each_crediting_year_on_hedge_reference_notional,true,direct,user_specified,2026-07-13,"User-specified modelling assumption 13-Jul-2026","Annual 0.30% fee on the hedge-reference notional. It is an insurer hedge cost only and does not reduce the customer Reference Fund or Account Value."
