parameter_set_id,parameter_group,parameter_name,index_id,value,unit,measure_scope,model_scope,is_market_data,calibration_status,effective_date,source_type,source_reference,source_url,code_constraint,validation,description
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,equity,sigma,aus_equity,0.16,decimal_per_sqrt_year,both,black_scholes;hull_white_bs,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Plausible annualised diffusion volatility; retained unchanged from the repository base sensitivity anchor",,value>0,pass,Australian return-index diffusion volatility
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,equity,dividend_yield,aus_equity,0.0,decimal_per_year,both,all_models,false,sensitivity_proxy_not_calibrated,2026-06-30,structural_index_definition,"S&P/ASX 200 Total Return already includes distributions",,value>=0,pass,Continuous carry excluded from the simulated published index
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,equity,risk_premium,aus_equity,0.045,decimal_per_year,real_world,all_models,false,sensitivity_proxy_not_calibrated,2026-06-30,long_run_research_anchor,"RBA historical realised ERP around 4 percent and cited forward-looking range of 4 to 6 percent",https://www.rba.gov.au/publications/rdp/2019/2019-04/australian-equity-market-facts-1917-2019.html,finite,pass,Expected total-return excess drift over AUD cash under the real-world measure
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,equity,sigma,global_equity,0.15,decimal_per_sqrt_year,both,black_scholes;hull_white_bs,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Plausible annualised AUD return volatility; retained unchanged from the repository base sensitivity anchor",,value>0,pass,Global AUD return-index diffusion volatility
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,equity,dividend_yield,global_equity,0.0,decimal_per_year,both,all_models,false,sensitivity_proxy_not_calibrated,2026-06-30,structural_index_definition,"MSCI World Net in AUD is modelled as a return index",,value>=0,pass,Continuous carry excluded from the simulated published index
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,equity,risk_premium,global_equity,0.045,decimal_per_year,real_world,all_models,false,sensitivity_proxy_not_calibrated,2026-06-30,long_run_research_anchor,"Long-run diversified-equity planning assumption aligned with the RBA 4 to 6 percent Australian forward-looking range; not a current market observation",https://www.rba.gov.au/publications/rdp/2019/2019-04/australian-equity-market-facts-1917-2019.html,finite,pass,Expected total-return excess drift over AUD cash under the real-world measure
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,dependence,equity_correlation,,0.75,correlation,both,all_models,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Instantaneous Brownian correlation between Australian and global AUD equity returns; retained unchanged from the base",,-1<value<1;joint_rate_equity_matrix_positive_definite,"pass;eigenvalues=0.2500;0.9053;1.8447",Cross-index equity shock correlation
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,v0,aus_equity,0.0256,variance_per_year,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,fixed_volatility_sensitivity,"Set equal to theta and 0.16 squared for the exact constant-variance boundary",,value>0,"pass;v0=theta=0.0256",Initial variance fixed at the Australian equity volatility anchor
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,theta,aus_equity,0.0256,variance_per_year,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,fixed_volatility_sensitivity,"Set equal to v0 and 0.16 squared for the exact constant-variance boundary",,value>0,"pass;v0=theta=0.0256",Long-run variance equal to the initial Australian equity variance
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,kappa,aus_equity,1.8,per_year,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,expert_assumption_repo_anchor,"Mean-reversion speed retained unchanged from the repository base; inactive when v0=theta and xi=0",,value>0,pass,Retained Heston mean-reversion speed at the constant-variance boundary
constant_equity_vol_low_rate_vol_sensitivity_2026-06-30,heston,xi,aus_equity,0.0,heston_vol_of_variance,both,heston;heston_hull_white,false,sensitivity_proxy_not_calibrated,2026-06-30,fixed_volatility_sensitivity,"Exact xi=0 sensitivity boundary; not a market calibration",,"value>=0;if value=0 then v0=theta>0","pass;xi=0;fixed_variance_boundary",Volatility of variance disabled to produce constant Australian equity variance
